10003,声音真的太低，拿回来就用了，吓到了。而且不知道为什么用的时候有一股烧焦一样的味道，害得老是怕漏电。,声音;,太低;,-1;
10004,到货以后，打电话给我说送刀具，快一个月了，送的刀具还没收到，打电话过去，说帮忙查，结果就没了音讯，是不是给个差评才会理我，才会尊重消费者，，，,,,
10005,屏膜显示发黄，所谓暖屏吧，颜色失真？ 和我使用的乐视屏膜纯白，颜***真。比较后很明显，感觉别骗了，这个价换了个黄屏手机，第一次使用VIVO，没想到这样。悲催。这种屏是二等屏。太不满意了。***一下，原来买了都在讨论这个问题。还有主题也是个bug，不能设置，只能通过换主题来实现图标大小，我晕啊！,主题;屏膜显示;颜色;NULL;屏;,不能设置;发黄;失真;悲催;不满意;,-1;-1;-1;-1;-1;
10006,产品设计的定位不错，节能和尺寸是我最看重的。但是长途运输中有边角小小划痕，开始运行时声音较大，后来逐渐还是静音（偶尔好像还是有声音...）今天发现面板有些渗水，联系客服，客服态度非常好，可能要联系师傅上门来检测...希望尽快解决，不要出问题：（,声音;定位;面板;声音;节能;尺寸;客服态度;,较大;不错;渗水;静音;看重;看重;好;,-1;1;-1;1;1;1;1;
10007,不知道东西怎么样，就是连个袋子都不给。都没办法拿,,,
10008,支架比购买前说明的贵,支架;,贵;,-1;
10009,香水全部露光了，就剩下瓶底的一点，难道我花钱就买了一个瓶子？而且还是个不能用的瓶子。,瓶子;,不能用;,-1;
10010,购买之前联系过在线客服说可以来安装！购买后预约安装开始可以安装！客服也发了短息预约了上门时间！我等了一上午也没有师傅联系我！再给客服打电话又说不能安装！你们能在商品描述里写明使用范围和品牌吗！在线客服的服务水平能提高吗！增添麻烦！,NULL;,麻烦;,-1;
10011,首先，手机随机发的，本身就不是很满意，但是不影响使用。其次，手机壳和屏保给我发了两次都是错的，不能用，一直到最后才告诉我没高配版。我真的要怀疑，你们是不是故意把日期拖到不能退货。这是第三次买，以后再不买小米。,屏保;手机;使用;手机壳;,不能用;不是满意;不影响;不能用;,-1;-1;0;-1;
10012,材料缺失，不过物流还行,物流;材料;,还行;缺失;,1;-1;
10013,跟以前买的不一样，外面的包装盒不一样，里面的东西也不一样，味都变了，唯一一样的是名字，还偏偏这次买了4瓶，超级郁闷，买了这么多东西，第一次差评，希望苏宁给我个说法,NULL;NULL;,郁闷;差评;,-1;-1;
10014,什么东西嘛，刚刚拿到货就掉价了,,,
10015,1.手机，快递师傅要我当面拆，验，拆开，后塑料膜上有灰白色硅胶物质，快递他都不好解释，心想或许自己想多了，当时也没想到拒收得了，呵呵，现在用来感觉或许就是返修机！2. 手机包装也太简陋了，都不保护哈机身，就直接放盒子里！最上方暗红色条都撞有印记了！3.右键返回键越来越感觉不灵敏！这点不爽！差评！,NULL;包装;NULL;键;,不爽;简陋;差评;不灵敏;,-1;-1;-1;-1;
10016,客服忽悠人，说好送赠品的收到货时却没有，联系客服却又不承认了，这样的店铺以后不会再来光临了！！！,客服;,忽悠;,-1;
10017,这款浴霸我看了很久了，降价买了，叫了个老师付给我装好了，装了我很滿意我也高兴，装好试了下热的很快，想买的可以下手了，还有相信苏宁昨天买第二天上午就送到，服务很好，我一直在苏宁买东西,热;服务;NULL;,很快;很好;高兴;,1;1;1;
10018,货可以,货;,可以;,1;
